 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.1   R"
 Date_of_run_____________________________________________________________ (date)________________________     "15/12/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "12:44"
 User____________________________________________________________________ (username)____________________     "clair"   
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "EU-DEMO 2018 baseline                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.1-18-gf145d83"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Corrected number of days in year in annual cost calculation ([hash]3010)"                          
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/clair/development/PROCESS/input_files/clean_demo_IN.DAT                                                                                                                                           "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             25    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.0977E-07 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      0.0000E+00 OP 
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.7944E+00 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              0 OP 
 bt______________________________________________________________________ (itvar001)____________________      4.9819E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.3483E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      2.4872E-01    
 rmajor__________________________________________________________________ (itvar002)____________________      8.9718E+00    
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0092E+00    
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      4.4582E-01    
 te______________________________________________________________________ (itvar003)____________________      1.2260E+01    
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      9.9431E-01    
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      4.6745E-02    
 beta____________________________________________________________________ (itvar004)____________________      3.2711E-02    
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      1.0411E+00    
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      3.1743E-02    
 dene____________________________________________________________________ (itvar005)____________________      6.9437E+19    
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      9.3429E-01    
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.0038E-02    
 fdene___________________________________________________________________ (itvar006)____________________      1.2000E+00    
 fdene_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0909E+00    
 fdene_(range_normalised)________________________________________________ (nitvar006)___________________      1.0000E+00    
 tfcth___________________________________________________________________ (itvar007)____________________      1.1638E+00    
 tfcth_(final_value/initial_value)_______________________________________ (xcm007)______________________      9.6339E-01    
 tfcth_(range_normalised)________________________________________________ (nitvar007)___________________      2.1710E-01    
